[ID],label,statement,subject(s),speaker,speaker's job title,state info,party affiliation,venue
3963,TRUE,Governor Carcieri has not been campaigning with me.,"candidates-biography,debates,campaign-advertising",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,a Providence Journal-WPRI-12 debate
3424,FALSE,Nazi imagery [was used] by the Block for Governor campaign to describe supporters of Allan Fung for Governor.,"elections,history,human-rights,campaign-advertising",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican, a news release
1178,FALSE,"In the 38 Studios deal, Wall Street investors took a risk, and went bust.","bankruptcy,debt,economy,history,job-accomplishments,message-machine-2014,campaign-advertising,state-budget,state-finances,taxes",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,a TV commercial
2347,TRUE,Says theres no language in the U.S. Constitution that prevents someone from running for Congress simultaneously in multiple states.,elections,allan-levene,nan,Georgia,republican,an article
440,FALSE,"Steve Southerland did not pay his taxes in 05, 06, 07, 08 or 09.","message-machine,taxes",allen-boyd,nan,Florida,democrat,a TV ad
1057,TRUE,"Unlike marijuana, medical cannabis oil cannot get you high.","health-care,marijuana,states",allen-peake,"member, Georgia House of Representatives",Georgia,republican,a press conference at the Georgia State Capitol
3597,FALSE,"An Obamacare slush fund paid to spay and neuter dogs and cats, then counted it as an anti-obesity campaign.","animals,corrections-and-updates,health-care,stimulus",allen-west,"U.S. representative, Florida District 22",Florida,republican,a newsletter
814,FALSE,China owns about 29 percent of (the U.S.) debt.,china,allen-west,"U.S. representative, Florida District 22",Florida,republican,an interview
1361,TRUE,This week the House of Representatives voted to remove the word lunatic from federal law.,legal-issues,allen-west,"U.S. representative, Florida District 22",Florida,republican,a weekly newsletter
431,FALSE,We had an amendment in the health care law that said the federal government is going to take over education.,"education,health-care",allen-west,"U.S. representative, Florida District 22",Florida,republican,a Fox News TV show
104,FALSE,"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.","environment,federal-budget,market-regulation",allen-west,"U.S. representative, Florida District 22",Florida,republican,a TV interview
3046,FALSE,More Americans receive food aid than work in (the) private sector.,"jobs,poverty,pundits,workers",allen-west,"U.S. representative, Florida District 22",Florida,republican,a tweet
420,FALSE,This is the first time in the history that weve had the raising of a debt limit also with spending cuts.,"federal-budget,history",allen-west,"U.S. representative, Florida District 22",Florida,republican,an interview on CNN
2299,FALSE,EPA wants to regulate the family BBQ.,"environment,food-safety,government-regulation",allen-west,"U.S. representative, Florida District 22",Florida,republican,a post on his website
4231,TRUE,"In June 2012 we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.","economy,jobs,social-security",allen-west,"U.S. representative, Florida District 22",Florida,republican,a radio interview
3619,TRUE,Florida Democrats put my Social Security number and my wifes Employment Identification Number in a mail piece.,campaign-advertising,allen-west,"U.S. representative, Florida District 22",Florida,republican,a Fox News interview
3888,FALSE,Klein did not hold a single town hall meeting (on health care) where the general public was invited to ask questions or present their views.,health-care,allen-west,"U.S. representative, Florida District 22",Florida,republican,press release
3685,FALSE,The Navy is bringing charges against a Navy officer who shot at the Chattanooga shooter for illegally discharging a firearm on federal property.,"guns,military,terrorism",allen-west,"U.S. representative, Florida District 22",Florida,republican,a blog on his website
4390,FALSE,The Georgia Lottery Corp. has only once in the past 16 years paid out the agreed upon 35 percent of proceeds to the account which funds the HOPE scholarship.,education,allie-mccullen,nan,Georgia,none,a speech
3479,FALSE,Says Gov. Rick Scott allowed Republican legislators to cut his teacher pay raise proposal by 60 percent.,"education,state-budget",allison-tant,Florida Democratic Party chairwoman,Florida,democrat,a Florida Voices column
3347,FALSE,"Under Obama, the national debt has been reduced every year for the last five years.",debt,al-sharpton,nan,New York,democrat,"a segment on MSNBC's ""PoliticsNation"""
2042,TRUE,Says Dick Cheney supported gay marriage soonerthan Hillary Clinton.,gays-and-lesbians,alternativepac,nan,nan,none,an online ad
2674,FALSE,Says she is saving ratepayers $6 million/year.,"city-budget,city-government,water",amanda-fritz,Portland city commissioner,nan,democrat,campaign material 
962,FALSE,Says Houston National Cemetery is preventing Christian prayers from being said at military funerals.,"military,religion",america,nan,nan,none,a Facebook post
1955,TRUE,Says Romney flip-flopped on abortion.,"abortion,message-machine-2012",american-bridge-21st-century,nan,nan,democrat,a video ad
3889,FALSE,"Wisconsins economy has tanked under Gov. Scott Walker andso far in 2015 over 6,685 people have been laid off, already more than in all of 2014.","economy,jobs",american-bridge-21st-century,nan,nan,democrat,a website posting
4333,FALSE,"The health care law could cost up to $2 trillion, double what we were promised.","corrections-and-updates,federal-budget,health-care,message-machine-2012",american-commitment,nan,nan,none,a television ad
1516,FALSE,After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.,"jobs,message-machine-2012",american-crossroads,nan,nan,republican,a campaign ad
4243,TRUE,The Clintons foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,"campaign-finance,foreign-policy,campaign-advertising",american-crossroads,nan,nan,republican,a video
220,FALSE,Says Bill Clinton opposes President Barack Obamas plan to raise taxes on wealthy Americans.,"message-machine,taxes",american-crossroads,nan,nan,republican,a television ad airing in Orlando
4140,FALSE,Tim Kaine urged$500 billion in Medicare cuts.,"health-care,medicare,message-machine-2012",american-crossroads,nan,nan,republican,a TV ad. 
2621,FALSE,Recent data showed Nevada ranks 50th in the money received from the stimulus bill.,"federal-budget,message-machine,stimulus",american-crossroads,nan,nan,republican,a campaign commercial
4123,FALSE,"As a result of Obamacare, California seniors face benefit cuts of over $1,700.","federal-budget,health-care,medicare,message-machine-2014",american-crossroads,nan,nan,republican,a campaign ad
1409,FALSE,"Gas prices have doubled because Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump.","climate-change,energy,gas-prices,message-machine-2012",american-energy-alliance,nan,nan,none,a television ad
3806,FALSE,"Kasichs budget raised taxes by billions, hitting businesses hard and the middle class even harder.","state-budget,taxes",american-future-fund,nan,nan,organization,a campaign ad
1403,FALSE,Says U.S. Rep. Martin Heinrich spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.,"jobs,message-machine-2012,stimulus",american-future-fund,nan,nan,organization,an advertisement
3402,FALSE,"Girl Scouts USAs curriculum promotes Margaret Sanger, founder of Planned Parenthood, Betty Friedan, founder of NARAL Prochoice, and other pro-abortion women as icons for our children to emulate.","abortion,children,sexuality",american-life-league,Nonproft organization,nan,none,an email blast
2038,TRUE,Says Bill Clinton and George Bush both say build the Keystone XL.,"climate-change,energy,environment,jobs",american-petroleum-institute,nan,nan,none,a television ad
1269,TRUE,Some politicians want to put new taxes on a lot of groceries.,taxes,americans-against-food-taxes,Advocacy group,"Washington, D.C.",none,a television commercial
3374,FALSE,Health care premiums up 90 percent in New Hampshire.,health-care,americans-prosperity,nan,nan,none,an ad
384,FALSE,"Says President Obama said of the national debt, If I dont have this done in three years, then theres going to be a one-term proposition.","deficit,message-machine-2012",americans-prosperity,nan,nan,none,an Americans for Prosperity attack ad
2829,FALSE,"300,000 Floridians have lost their health insurance as a result of Obamacare.",health-care,americans-prosperity,nan,nan,none,a campaign ad
1277,FALSE,Millions of Americans are paying more and getting less under Obamacare.,health-care,americans-prosperity,nan,nan,none,a political ad
3715,FALSE,Says Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes.,taxes,americans-prosperity,nan,nan,none,a web ad
317,FALSE,Says Kay Hagan supports waivers for friends of Obama and special treatment for Congress and their staffs.,health-care,americans-prosperity,nan,nan,none,a YouTube ad
170,FALSE,"Says the stimulus bill sent tax credits overseas, such as half a billion to an electric car company that created hundreds of jobs in Finland.","corporations,energy,environment,message-machine-2012,stimulus",americans-prosperity,nan,nan,none,a TV ad
45,FALSE,"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.","income,jobs,message-machine-2012,taxes",americans-prosperity-new-jersey,nan,nan,none,a television ad posted on YouTube
2880,FALSE,Baseball and insurance are the only industries exempt from antitrust laws.,"baseball,health-care",americans-united-change,nan,nan,none,a television advertisement
4557,FALSE,A new poll shows 62 percent support the president's plan to reform health care. That means ... letting you choose between keeping the private insurance you have and a public health insurance plan.,health-care,americans-united-change,nan,nan,none,an Internet ad.
2235,FALSE,"The Republicans' alternative health care plan ""will still let insurers raise premiums four times faster than wages.""",health-care,americans-united-change,nan,nan,none,a TV ad
877,FALSE,Says Majority Leader Eric Cantor called for abolishing Social Security and Medicare.,"federal-budget,medicare,social-security",americans-united-change,nan,nan,none,a news release.
710,FALSE,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",abortion,americans-united-life,nan,"Washington, D.C.",organization,a committee hearing on SB 1636
4016,FALSE,"Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.","human-rights,islam,nuclear",american-unity-pac,nan,nan,republican,a campaign ad
171,TRUE,Health insurance companies' costs are only 4 percent of all health care spending.,health-care,americas-health-insurance-plans,Trade group representing the health insurance industry,"Washington, D.C.",none,an advertisement
2335,TRUE,"To give a sense of how families are struggling, a record four out of every 10 school kids in Ohio now qualifies for subsidized lunch.","children,economy,families,poverty",amy-hanauer,Executive director of Policy Matters Ohio,Ohio,none,at a rally at the Ohio Statehouse
2630,TRUE,Were now the No. 1 producer of oil in the world. Weve surpassed Saudi Arabia.,energy,amy-klobuchar,U.S. senator,Minnesota,democrat,"comments on NBC's ""Meet the Press"""
1522,FALSE,U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,"federal-budget,voting-record",amy-kremer,"Chair, Tea Party Express",Georgia,tea-party-member,an interview
120,FALSE,"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.","elections,legal-issues",anastasia-williams,State representative in Rhode Island,Rhode Island,democrat,a House Judiciary Committee hearing
2016,FALSE,Our larger domestic threat is from racial supremacist groups.,"crime,religion,terrorism",andre-carson,nan,nan,democrat,"an interview on ABC News' ""This Week"""
4176,FALSE,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire.,"criminal-justice,state-budget,state-finances,taxes",andre-jacque,nan,nan,republican,an interview
2565,TRUE,Most private sector jobs in the history of Buffalo exist in Buffalo today,"economy,jobs",andrew-cuomo,Governor,New York,democrat,a speech in Buffalo
2022,TRUE,We spend less than 2 percent more every year. That is the lowest increase in spending since they have been keeping numbers.,"economy,state-budget",andrew-cuomo,Governor,New York,democrat,"a speech in Fishkill, NY"
476,TRUE,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,andrew-cuomo,Governor,New York,democrat,"a conversation with reporters in Victor, NY."
4128,TRUE,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,"education,state-budget",andy-berke,Lawyer and state senator,Tennessee,democrat,a letter to state Senate education committee chairwoman Dolores Gresham.
993,FALSE,"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",education,andy-brown,Attorney,Texas,democrat,a web post.
3250,FALSE,"A proposed revenue smart cap gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment.","state-budget,taxes",andy-gardiner,Senate Majority Leader,Florida,republican,a press statement.
671,FALSE,The Providence teacher contract is one of the longest in the country.,"education,labor,unions",angel-taveras,Mayor of Providence,Rhode Island,democrat,an interview
1929,FALSE,"For the new state budget, ""Floridians have sent us $3 billion less of their funding.""","state-budget,taxes",anitere-flores,State Representative,Florida,republican,a House floor speech
4101,FALSE,We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.,elections,anna-little,Immigration Attorney,New Jersey,republican,an interview on NJToday
1301,FALSE,Lee Zeldin missed 2/3rds of Veterans Affairs Hearings,"congress,veterans",anna-throne-holst,Candidate for Congress,New York,democrat,a tweet that linked to the claim in a Newsday article
871,TRUE,"Rhode Islands voter identification law was pushed by a black Democrat in the House, a black Democrat in the Senate. Thats a fact.","elections,pundits",ann-coulter,Columnist and author,New York,republican,a TV show appearance
1520,FALSE,"1928 was last time Republicans had the White House, the House and the Senate.",history,ann-coulter,Columnist and author,New York,republican,a tweet
3935,FALSE,"Obamas Justice-designate Sotomayor threw out (the New Haven firefighters) lawsuit in a sneaky, unsigned opinion -- the judicial equivalent of talk to the hand.","legal-issues,pundits,sotomayor-nomination,supreme-court",ann-coulter,Columnist and author,New York,republican,a column in Human Events.
2633,FALSE,"One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.","elections,pundits",ann-coulter,Columnist and author,New York,republican,a TV show appearance
1664,TRUE,"Says food stamp growth, while high, lagged the rise in unemployment.","economy,poverty",anne-goodman,Executive director and CEO of the Cleveland Foodbank,Ohio,none,an interview with The Plain Dealer
2877,FALSE,"In Rhode Island, a recent study showed that among a group of people who had been homeless for a year or more, Medicaid costs averaged about $60,000 per person.","children,economy,families,federal-budget,government-efficiency,health-care,housing,human-rights,hunger,income,medicaid,poverty,public-health,state-budget,state-finances,taxes,urban,veterans,welfare,women",anne-nolan,"president, Crossroads Rhode Island",Rhode Island,activist,a Journal commentary
3811,TRUE,"Even though men comprise 49% of the population, they hold 80% of the lawmaking power in the Legislature (144 of 181 seats).","history,states,women",annies-list,Political Action Committee,Texas,democrat,a press release
416,FALSE,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,county-government,ann-lininger,Clackamas County Commissioner,Oregon,county-commissioner,in campaign literature 
4412,FALSE,"The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014, including each individuals Body Mass Index.","health-care,privacy",ann-marie-buerkle,Candidate for U.S. House,New York,republican,a page on her campaign website
4271,FALSE,Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,campaign-advertising,ann-mclane-kuster,Attorney,New Hampshire,democrat,"a press release sent to The Telegraph on Aug. 31, 2012"
2465,TRUE,"Says she is entering in the most diverse class ever, of U.S. Representatives","congress,diversity",ann-mclane-kuster,Attorney,New Hampshire,democrat,nan
4784,FALSE,"""Imran Khan has died in Adiala Jail due to heart failure.""",Politics,Anonymous,Social Media Account,Punjab,None,Twitter (X)
4736,FALSE,"""Imran Khan has died in Adiala Jail due to heart failure.""",Politics,Anonymous,Social Media Account,Punjab,None,Twitter (X)
195,FALSE,"A proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",transportation,anonymous-flier,nan,nan,none,nan
4011,FALSE,Rhode Island voters are moving away from the Democratic party to non-affiliation,"elections,history",anthony-gemma,"Owner Media Peel, former president and CEO of Gem Plumbing",Rhode Island,democrat,a speech at the state Democratic convention
2196,FALSE,"Says that as Providences mayor, David Cicilline said the city had a world-class school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.","education,job-accomplishments",anthony-gemma,"Owner Media Peel, former president and CEO of Gem Plumbing",Rhode Island,democrat,a TV debate
2881,FALSE,The health care law includes tort reform.,"health-care,legal-issues",anthony-weiner,nan,New York,democrat,a speech on the House floor
4582,TRUE,"""UN Secretary-General Guterres visits flood-hit areas, calls it 'climate carnage'.""",Climate,Antonio Guterres,UN Sec-Gen,International,N/A,Press Conf
4002,FALSE,Says a gun bill before the Senate is proposing the universal registration of all firearms and their owners.,"civil-rights,guns",Arizona-Citizens-Defense-League,nan,nan,organization,an email to supporters
3505,FALSE,On switching parties.,elections,arlen-specter,Senator,Pennsylvania,democrat,interviews.
4395,TRUE,Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.,supreme-court,arlen-specter,Senator,Pennsylvania,democrat,an interview on MSNBC's Daily Rundown
